price,levy,manufacturer,model,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,engine_turbo,age
13328,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,186005.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,13
16621,1018.0,CHEVROLET,Equinox,Jeep,No,Petrol,3.0,192000.0,6.0,Tiptronic,4x4,4-5,Left wheel,Black,8,0,12
8467,0.0,HONDA,FIT,Hatchback,No,Petrol,1.3,200000.0,4.0,Variator,Front,4-5,Right-hand drive,Black,2,0,17
3607,862.0,FORD,Escape,Jeep,Yes,Hybrid,2.5,168966.0,4.0,Automatic,4x4,4-5,Left wheel,White,0,0,12
11726,446.0,HONDA,FIT,Hatchback,Yes,Petrol,1.3,91901.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,9
39493,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,160931.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,7
1803,761.0,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,258909.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,13
549,751.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,216118.0,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,10
1098,394.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,362717.5,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,9
26657,0.0,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,128500.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,16
941,1053.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,184467.0,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,9
8781,0.0,FORD,Transit,Microbus,No,CNG,3.55,0.0,8.0,Manual,Rear,2-3,Left wheel,Blue,0,0,24
3000,0.0,OPEL,Vectra,Goods wagon,No,CNG,1.6,350000.0,4.0,Manual,Front,4-5,Left wheel,White,4,0,26
1019,1055.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,138038.0,6.0,Automatic,Front,4-5,Left wheel,White,12,0,10
47356,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,76000.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,7
549,1079.0,TOYOTA,CHR,Jeep,Yes,Petrol,2.0,74146.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,5
7683,810.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,121840.0,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,7
28382,810.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,54317.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,7
549,2287.5,HYUNDAI,Sonata,Sedan,Yes,Petrol,3.3,295059.0,6.0,Automatic,Rear,4-5,Left wheel,Blue,12,0,17
941,1850.0,LEXUS,RX 400,Jeep,Yes,Hybrid,3.5,362717.5,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,15
18826,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,112645.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11
20698,586.0,TOYOTA,Prius,Sedan,Yes,Plug-in Hybrid,1.8,187000.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,11
17562,1249.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,39709.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,6
